"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"Risk_score",1.45992560320829,0.0883304237518557,4.28375028266869,1.83769160954519e-05,1.22784552571728,1.73587208020976
"GenderFemale",1.09298694756576,0.162280544760292,0.547904663566281,0.583757366470592,0.795209437329209,1.50227149159769
"Age",1.01325691642194,0.00844412307025949,1.55964241296994,0.118844407794015,0.996625342382066,1.03016603633916
"StageII",1.4968522658168,0.310623946366267,1.29856187347153,0.194094329478733,0.814282978566941,2.75158239169392
"StageIII",2.10198193714482,0.469172614438418,1.58338457186254,0.113333837279957,0.838047290437275,5.27217033513429
"StageIV",13.5593609769368,1.48805873728838,1.75199882267949,0.0797740103611765,0.733839913129881,250.54002489278
"SmokingFormer>15",1.11220136459991,0.279672834319047,0.380234508535721,0.703771345403793,0.642873428092561,1.92416084000878
"SmokingFormer<=15",0.982694677708659,0.254554475433613,-0.0685778931469128,0.945325616143859,0.596679945777713,1.61843687965455
"SmokingCurrent",0.751014862276557,0.277169133849736,-1.03305095143441,0.301580055179553,0.436236235684253,1.2929309333407
"SmokingUnknown",0.71346874944271,0.404254891124647,-0.835157840748078,0.403628843517151,0.323052099772378,1.57571381455193
"M_stageM1",0.198812479897834,1.44231159530034,-1.12000292852639,0.262712514130268,0.0117691686654483,3.35847019332535
"M_stageMX",0.941419235574035,0.191907859404628,-0.314560943290898,0.753095037488818,0.646295008418678,1.37130902384235
"N_stageN1",1.4698744285406,0.290648657889578,1.32523224836892,0.185094132507076,0.83153330482885,2.59824931019718
"N_stageN2/N3",1.22641173741191,0.427660864808047,0.477230057616246,0.633198309699775,0.530408787019711,2.83571046798251
"N_stageNX",1.15128343820537,0.72512864672694,0.194279117134583,0.845957336215167,0.277940371738255,4.7688414129855
"T_stageT2",1.07292705335328,0.196520598657721,0.358183711992594,0.720205835668437,0.729947388431165,1.57706223772031
"T_stageT3/T4",1.68868081286216,0.283331424247287,1.84923942484423,0.0644232482451198,0.969115240228939,2.94252197195367
"T_stageTX",1.08000073810025,1.29997172689027,0.0592026141569679,0.952790727500669,0.0845057211441325,13.8026346441997
